Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3e-06,RogueTrader_110010,Tick,0,0,0,0,,,0,0,0,OK
3e-06,FTZTraders_271828,Tick,0,0,0,0,,,0,0,0,OK
3e-06,ThePequod_1,Tick,0,0,0,0,,,0,0,0,OK
3e-06,usctradergo_202201,Tick,0,0,0,0,,,0,0,0,OK
3e-06,TraderJoes_1,Tick,0,0,0,0,,,0,0,0,OK
3e-06,GliAmadini_1,Tick,0,0,0,0,,,0,0,0,OK
0.225089,RogueTrader_110010,Tick,0,0,0,0,126400,,0,0,0,OK
0.225089,FTZTraders_271828,Tick,0,0,0,0,126400,,0,0,0,OK
0.225089,ThePequod_1,Tick,0,1,-1,1,126400,,-13,-87,-87,OK
0.225089,usctradergo_202201,Tick,0,0,0,0,126400,,0,0,0,OK
0.225089,TraderJoes_1,Tick,0,0,0,0,126400,,0,0,0,OK
0.225089,GliAmadini_1,Tick,0,0,0,0,126400,,0,0,0,OK
0.462865,RogueTrader_110010,Tick,0,0,0,0,126500,,0,0,0,OK
0.462865,FTZTraders_271828,Tick,0,0,0,0,126500,,0,0,0,OK
0.462865,ThePequod_1,Tick,5,6,-1,1,126500,,-139,-461,-461,OK
0.462865,usctradergo_202201,Tick,0,0,0,0,126500,,0,0,0,OK
0.462865,TraderJoes_1,Tick,0,0,0,0,126500,,0,0,0,OK
0.462865,GliAmadini_1,Tick,0,50,-50,50,126500,,-443,-4557,-4557,OK
0.715366,RogueTrader_110010,Tick,0,0,0,0,126600,,0,0,0,OK
0.715366,FTZTraders_271828,Tick,0,0,0,0,126600,,0,0,0,OK
0.715366,ThePequod_1,Tick,5,27,-22,1,126600,,393,2657607,2657607,OK
0.715366,usctradergo_202201,Tick,0,0,0,0,126600,,0,0,0,OK
0.715366,TraderJoes_1,Tick,0,0,0,0,126600,,0,0,0,OK
0.715366,GliAmadini_1,Tick,0,50,-50,50,126600,,-443,-4557,-4557,OK
0.965014,RogueTrader_110010,Tick,0,0,0,0,126600,,0,0,0,OK
0.965014,FTZTraders_271828,Tick,0,0,0,0,126600,,0,0,0,OK
0.965014,ThePequod_1,Tick,5,27,-22,1,126600,,393,2657607,2657607,OK
0.965014,usctradergo_202201,Tick,0,0,0,0,126600,,0,0,0,OK
