2023-03-08 10:13:04.768646 [INFO   ] [APP] application started
2023-03-08 10:13:04.769583 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-08 10:13:04.771069 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-08 10:13:04.771512 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-08 10:13:04.771573 [INFO   ] [BASE] logging in with teamname='TraderOne' and secret='secret'
2023-03-08 10:13:04.772424 [DEBUG  ] [CON] 'Exec' sent 103 bytes
2023-03-08 10:13:05.435105 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:05.435124 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:05.435133 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 1000; bid prices: 146900; bid volumes: 13000
2023-03-08 10:13:05.435179 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:05.435190 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:05.435193 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:05.435195 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-08 10:13:05.435247 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:05.435538 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:05.435545 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:05.435666 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:05.435671 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:05.720777 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:05.720794 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:05.720800 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9400; bid prices: 146900; bid volumes: 4000
2023-03-08 10:13:05.720817 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:05.720820 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:05.720823 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146900; bid volumes: 10
2023-03-08 10:13:05.949518 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:05.949544 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:05.949549 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 10400; bid prices: 146800; bid volumes: 740
2023-03-08 10:13:05.949598 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:05.949608 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:05.949610 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:05.949613 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146900; bid volumes: 10
2023-03-08 10:13:05.949639 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:05.949745 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:05.949749 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:05.949829 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:05.949837 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.166182 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.166198 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:06.166203 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9410; bid prices: 146900; bid volumes: 4450
2023-03-08 10:13:06.166243 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-08 10:13:06.166256 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.166259 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-08 10:13:06.166262 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-08 10:13:06.166279 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-08 10:13:06.166531 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.166537 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.166785 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.166791 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.230750 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:06.230755 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-08 10:13:06.230758 [INFO   ] [AUTO] order 1 filled for 10 lots at $147100 cents
2023-03-08 10:13:06.230796 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-08 10:13:06.230804 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-08 10:13:06.230806 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-08 10:13:06.230831 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-08 10:13:06.230835 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-08 10:13:06.230838 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-08 10:13:06.230901 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-08 10:13:06.230906 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
