Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
1e-06,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.23533,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.453199,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.737119,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.956715,TraderOne,Tick,0,10,-10,10,147600,,-147,147,147,OK
1.202495,TraderOne,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
1.505959,TraderOne,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
1.791454,TraderOne,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
2.028446,TraderOne,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
2.261635,TraderOne,Tick,1,10,-9,9,147100,146900,-162,162,-1638,OK
2.510208,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2691,-2891,OK
2.780253,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2691,-2891,OK
2.965763,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2691,-2891,OK
3.267164,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2691,-2891,OK
3.477039,TraderOne,Tick,11,20,-9,9,147500,146900,-456,-2544,-4344,OK
3.728192,TraderOne,Tick,21,20,1,-1,146300,146900,-603,-3397,-3597,OK
4.009292,TraderOne,Tick,21,20,1,-1,146300,146900,-603,-3397,-3597,OK
4.207517,TraderOne,Tick,21,20,1,-1,146300,146900,-603,-3397,-3597,OK
4.519039,TraderOne,Tick,31,20,11,-11,146300,146900,-750,-3250,-5450,OK
4.729291,TraderOne,Tick,31,20,11,-11,146300,146900,-750,-3250,-5450,OK
5.044406,TraderOne,Tick,31,20,11,-11,146300,146900,-750,-3250,-5450,OK
5.240827,TraderOne,Tick,31,20,11,-11,146300,146800,-750,-3250,-5450,OK
5.481341,TraderOne,Tick,31,20,11,-11,146300,146800,-750,-3250,-5450,OK
5.797761,TraderOne,Tick,31,20,11,-11,146300,146800,-750,-3250,-5450,OK
5.998536,TraderOne,Tick,31,30,1,-1,147000,146800,-456,-3544,-3344,OK
6.224229,TraderOne,Tick,31,40,-9,9,147000,146800,-162,-2838,-4638,OK
6.453698,TraderOne,Tick,31,50,-19,19,147000,146800,132,-132,-3932,OK
6.791762,TraderOne,Tick,31,60,-29,29,147200,146700,426,2574,-3226,OK
6.993411,TraderOne,Tick,31,60,-29,29,147200,146900,426,2574,-3226,OK
7.262314,TraderOne,Tick,31,60,-29,29,147200,146900,426,2574,-3226,OK
7.522475,TraderOne,Tick,31,60,-29,29,147200,146900,426,2574,-3226,OK
7.779618,TraderOne,Tick,31,60,-29,29,147200,146900,426,2574,-3226,OK
7.98949,TraderOne,Tick,31,60,-29,29,147200,146900,426,2574,-3226,OK
8.296247,TraderOne,Tick,41,60,-19,19,147000,146900,279,-279,-2179,OK
8.522497,TraderOne,Tick,41,60,-19,19,147000,146900,279,-279,-2179,OK
